SIGNIFICANT,SERIOUS,Year,Fatalities,Injuries,Explode,Ignite,CLASS,Dia,wall,SMYS,TOTAL_COST_IN84,TOTAL_COST_CURRENT,MAOP,SEAM,cause,subcause,coat,PIR,HCA,BA,CoF
NO,NO,2011,0,0,NO,NO,1,8.625,0.188,42000,13853.01453,18794.22697,1318,LONGITUDINAL ERW - HIGH FREQUENCY,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,FUSION BONDED EPOXY,216,NO,After,18794.22697
YES,NO,2011,0,0,NO,NO,1,26,0.281,52000,228815.0752,371611.4456,790,FLASH WELDED,MATERIAL/WELD/EQUIP FAILURE,"CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",COAL TAR,504,NO,After,371611.4456
YES,NO,2011,0,0,NO,NO,1,20,0.281,52000,1380449.922,2781899.326,1045,LONGITUDINAL ERW - HIGH FREQUENCY,ALL OTHER CAUSES,MISCELLANEOUS,FUSION BONDED EPOXY,446,NO,After,2781899.326
YES,NO,2011,0,0,NO,NO,2,NA,NA,NA,198027.1654,394096.7865,936,NA,CORROSION,INTERNAL,NA,1101,NO,After,394096.7865
NO,NO,2011,0,0,NO,NO,1,3.5,0.216,24000,11786.53122,12967.18353,400,SEAMLESS,NATURAL FORCE DAMAGE,HEAVY RAINS/FLOODS,NONE,50,NO,After,12967.18353
YES,NO,2011,0,0,NO,NO,3,NA,NA,NA,193422.874,390208.2812,974,NA,NATURAL FORCE DAMAGE,EARTH MOVEMENT,NA,516,YES,After,390208.2812
NO,NO,2011,0,0,NO,NO,1,2,0.154,24000,42189.59946,74451.47072,975,LONGITUDINAL ERW - LOW FREQUENCY,EXCAVATION DAMAGE,OPERATOR/CONTRACTOR EXCAVATION DAMAGE,FIELD APPLIED EPOXY,51,NO,After,74451.47072
NO,NO,2011,0,0,NO,NO,2,NA,NA,NA,28951.10962,27770.34632,720,NA,OTHER OUTSIDE FORCE DAMAGE,OTHER OUTSIDE FORCE DAMAGE,NA,2640,NO,After,27770.34632
YES,NO,2011,0,0,NO,NO,1,NA,NA,NA,97409.94671,91491.36767,1440,NA,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,NA,1098,NO,After,91491.36767
YES,NO,2011,0,0,NO,NO,2,26,0.281,52000,105429.5254,209668.1857,790,FLASH WELDED,MATERIAL/WELD/EQUIP FAILURE,ENVIRONMENTAL CRACKING-RELATED,COAL TAR,504,NO,After,209668.1857
YES,NO,2011,0,0,NO,NO,1,6.625,0.188,42000,103235.4234,187465.5047,480,SEAMLESS,NATURAL FORCE DAMAGE,HEAVY RAINS/FLOODS,FUSION BONDED EPOXY,100,NO,After,187465.5047
YES,NO,2011,0,0,NO,NO,1,NA,NA,NA,131541.9368,255978.2595,974,NA,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,NA,775,NO,After,255978.2595
YES,NO,2011,0,0,NO,NO,1,6,0.156,42000,128505.2205,245264.1801,796,LONGITUDINAL ERW - LOW FREQUENCY,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,EXTRUDED POLYEHYLENE,117,NO,After,245264.1801
YES,NO,2011,0,0,NO,NO,1,30,0.298,70000,140933.6673,284099.2523,999,SPIRAL WELDED DSAW,MATERIAL/WELD/EQUIP FAILURE,"CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",FUSION BONDED EPOXY,654,NO,After,284099.2523
YES,NO,2011,0,0,NO,NO,1,NA,NA,NA,66651.86501,62602.13144,810,NA,INCORRECT OPERATION,PIPELINE/EQUIPMENT OVERPRESSURED,NA,157,NO,After,62602.13144
YES,NO,2011,0,0,NO,NO,1,NA,NA,NA,342226.5956,514364.9907,800,NA,NATURAL FORCE DAMAGE,HEAVY RAINS/FLOODS,NA,429,NO,After,514364.9907
YES,NO,2011,0,0,YES,YES,1,NA,NA,NA,52042.41023,104738.6684,960,NA,INCORRECT OPERATION,OTHER INCORRECT OPERATION,NA,527,NO,After,104738.6684
YES,NO,2011,0,0,NO,NO,1,NA,NA,NA,72099.42223,68296.9893,1435,NA,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,NA,1098,NO,After,68296.9893
YES,NO,2011,0,0,NO,NO,1,NA,NA,NA,117966.8266,237967.827,1236,NA,MATERIAL/WELD/EQUIP FAILURE,MANUFACTURING-RELATED,NA,388,NO,After,237967.827
YES,NO,2011,0,0,NO,NO,1,NA,NA,NA,71935.9789,145035.4223,850,NA,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,NA,40,NO,After,145035.4223
NO,NO,2011,0,0,NO,NO,1,NA,NA,NA,48047.04682,45416.87831,1290,NA,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,NA,59,NO,After,45416.87831
NO,NO,2011,0,0,NO,NO,1,NA,NA,NA,35662.05812,56626.90789,850,NA,INCORRECT OPERATION,PIPELINE/EQUIPMENT OVERPRESSURED,NA,369,NO,After,56626.90789
YES,NO,2011,0,0,NO,YES,1,NA,NA,NA,65072.93721,131097.6097,1000,NA,MATERIAL/WELD/EQUIP FAILURE,COMPRESSOR OR COMPRESSOR-RELATED EQUIPMENT,NA,26,NO,After,131097.6097
YES,NO,2011,0,0,NO,NO,1,NA,NA,NA,93556.35319,181497.3038,288,NA,NATURAL FORCE DAMAGE,EARTH MOVEMENT,NA,234,NO,After,181497.3038
YES,NO,2011,0,0,NO,NO,1,24,0.25,60000,75480.73916,146465.6956,850,LONGITUDINAL ERW - HIGH FREQUENCY,MATERIAL/WELD/EQUIP FAILURE,"CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",FUSION BONDED EPOXY,445,NO,After,146465.6956
NO,NO,2011,0,0,NO,NO,3,NA,NA,NA,21454.68689,43282.76935,400,NA,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,NA,62,YES,After,43282.76935
NO,NO,2011,0,0,NO,NO,1,NA,NA,NA,5948.97513,10871.36748,720,NA,NATURAL FORCE DAMAGE,HIGH WINDS,NA,293,NO,After,10871.36748
YES,NO,2011,0,0,NO,NO,1,6.625,0.219,46000,141306.0251,148912.5034,1875,LONGITUDINAL ERW - HIGH FREQUENCY,CORROSION,INTERNAL,FIELD APPLIED EPOXY,198,NO,After,148912.5034
YES,NO,2011,0,0,NO,NO,1,NA,NA,NA,648992.2584,1303740.885,1300,NA,NATURAL FORCE DAMAGE,HIGH WINDS,NA,398,NO,After,1303740.885
YES,NO,2011,0,0,NO,NO,1,NA,NA,NA,65209.91171,131554.7312,1300,NA,NATURAL FORCE DAMAGE,HIGH WINDS,NA,498,NO,After,131554.7312
YES,NO,2011,0,0,NO,NO,1,NA,NA,NA,194335.1121,256246.8477,2160,NA,NATURAL FORCE DAMAGE,OTHER NATURAL FORCE DAMAGE,NA,385,NO,After,256246.8477
YES,NO,2011,0,0,NO,NO,1,NA,NA,NA,981874.8048,1853561.345,843,NA,NATURAL FORCE DAMAGE,OTHER NATURAL FORCE DAMAGE,NA,580,NO,After,1853561.345
YES,NO,2011,0,0,NO,NO,1,20,0.25,46000,71507.34217,100703.4969,575,LONGITUDINAL ERW - LOW FREQUENCY,MATERIAL/WELD/EQUIP FAILURE,MANUFACTURING-RELATED,COAL TAR,398,NO,After,100703.4969
YES,NO,2011,0,0,NO,NO,1,NA,NA,NA,1823648.386,3679035.395,660,NA,INCORRECT OPERATION,OTHER INCORRECT OPERATION,NA,603,YES,After,3679035.395
NO,NO,2011,0,0,NO,NO,3,NA,NA,NA,44052.27799,88117.82595,405,NA,ALL OTHER CAUSES,UNKNOWN,NA,98,NO,After,88117.82595
YES,NO,2011,0,0,NO,NO,1,16,0.375,52000,1006993.896,2015648.656,1440,DSAW,CORROSION,INTERNAL,COAL TAR,419,NO,After,2015648.656
NO,NO,2011,0,0,NO,NO,2,12.75,0.25,35000,47407.22593,91802.11368,500,LAP WELDED,EXCAVATION DAMAGE,PREVIOUS DAMAGE DUE TO EXCAVATION,COAL TAR,197,NO,After,91802.11368
NO,NO,2011,0,0,NO,NO,1,16,0.4,29,39198.01613,71513.85207,510,SEAMLESS,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,ASPHALT,250,NO,After,71513.85207
YES,NO,2011,0,0,NO,NO,1,NA,NA,NA,626358.7521,634564.8282,1435,NA,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,NA,1098,NO,After,634564.8282
NO,NO,2011,0,0,NO,NO,1,NA,NA,NA,36751.3097,34807.46446,975,NA,INCORRECT OPERATION,OTHER INCORRECT OPERATION,NA,153,NO,After,34807.46446
YES,NO,2011,0,0,NO,NO,1,8.625,0.277,35000,200489.1805,206523.7404,1215,SEAMLESS,CORROSION,INTERNAL,COAL TAR,207,NO,After,206523.7404
YES,NO,2011,0,0,NO,NO,1,18,0.25,50000,120953.337,234178.0427,650,LONGITUDINAL ERW - UNKNOWN FREQUENCY,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,COAL TAR,278,NO,After,234178.0427
YES,NO,2011,0,0,NO,NO,1,30,0.438,70000,3632415.081,7150625.895,1440,SINGLE SAW,MATERIAL/WELD/EQUIP FAILURE,"CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",FUSION BONDED EPOXY,846,NO,After,7150625.895
YES,NO,2011,0,0,NO,NO,1,NA,NA,NA,64144.66691,60305.09858,1025,NA,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,NA,146,NO,After,60305.09858
YES,NO,2011,0,0,NO,NO,2,4.5,0.188,42000,128418.3399,196639.0584,845,LONGITUDINAL ERW - UNKNOWN FREQUENCY,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,COAL TAR,90,NO,After,196639.0584
YES,NO,2011,0,0,NO,NO,1,30,0.339,52000,360460.666,474544.4951,845,DSAW,MATERIAL/WELD/EQUIP FAILURE,"CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",FIELD APPLIED EPOXY,602,NO,After,474544.4951
NO,NO,2011,0,0,NO,NO,3,NA,NA,NA,40061.27886,37627.17584,740,NA,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,NA,38,NO,After,37627.17584
YES,NO,2011,0,0,NO,NO,1,12,0.203,42000,111202.071,177710.391,450,LONGITUDINAL ERW - HIGH FREQUENCY,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,COLD APPLIED TAPE,187,NO,After,177710.391
YES,YES,2011,0,1,YES,YES,1,NA,NA,NA,758412.0832,1530022.75,858,NA,INCORRECT OPERATION,OTHER INCORRECT OPERATION,NA,606,NO,After,4740022.75
YES,NO,2011,0,0,NO,NO,1,NA,NA,NA,136298.7437,132759.291,1000,NA,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,NA,1000,NO,After,132759.291
NO,NO,2011,0,0,NO,NO,2,6.625,0.156,42000,32062.55108,48041.48195,1186,SEAMLESS,OTHER OUTSIDE FORCE DAMAGE,VEHICLE NOT ENGAGED IN EXCAVATION,PAINT,157,NO,After,48041.48195
YES,NO,2011,0,0,NO,NO,3,6,0.219,35000,298697.5381,564000.1206,565,LONGITUDINAL ERW - UNKNOWN FREQUENCY,NATURAL FORCE DAMAGE,HEAVY RAINS/FLOODS,OTHER,99,NO,After,564000.1206
NO,NO,2011,0,0,NO,NO,1,NA,NA,NA,24494.07241,23377.08809,1210,NA,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,NA,115,NO,After,23377.08809
NO,NO,2011,0,0,NO,NO,1,12,0.25,33000,32182.03034,64924.15403,350,SINGLE SAW,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,ASPHALT,155,NO,After,64924.15403
NO,NO,2011,0,0,NO,NO,1,NA,NA,NA,28279.25112,41260.03046,500,NA,OTHER OUTSIDE FORCE DAMAGE,VEHICLE NOT ENGAGED IN EXCAVATION,NA,154,NO,After,41260.03046
YES,NO,2011,0,0,NO,NO,1,26,0.281,52000,138557.0769,131641.9768,750,FLASH WELDED,EXCAVATION DAMAGE,PREVIOUS DAMAGE DUE TO EXCAVATION,COAL TAR,491,NO,After,131641.9768
YES,NO,2011,0,0,NO,NO,3,16,0.281,42000,1072197.977,2163056.398,450,LONGITUDINAL ERW - UNKNOWN FREQUENCY,CORROSION,EXTERNAL,ASPHALT,289,YES,After,2163056.398
YES,NO,2011,0,0,NO,NO,1,NA,NA,NA,60765.46825,57333.62032,938,NA,ALL OTHER CAUSES,MISCELLANEOUS,NA,42,NO,After,57333.62032
NO,NO,2011,0,0,NO,NO,1,NA,NA,NA,6194.657931,5991.76109,1436,NA,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,NA,20,NO,After,5991.76109
NO,NO,2011,0,0,NO,NO,1,4,0.141,25000,46391.74857,81167.15889,180,LONGITUDINAL ERW - UNKNOWN FREQUENCY,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,COAL TAR,136,NO,After,81167.15889
NO,NO,2011,0,0,NO,NO,1,NA,NA,NA,9479.616166,8951.637679,720,NA,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,NA,56,NO,After,8951.637679
YES,NO,2011,0,0,NO,YES,2,NA,NA,NA,100107.8521,195270.3052,500,NA,NATURAL FORCE DAMAGE,LIGHTNING,NA,916,NO,After,195270.3052
YES,NO,2011,0,0,NO,NO,2,NA,NA,NA,132544.7322,267286.5782,200,NA,INCORRECT OPERATION,INCORRECT VALVE POSITION,NA,65,NO,After,267286.5782
YES,NO,2011,0,0,NO,NO,1,26,0.434,52000,411102.0496,824063.8194,1250,SEAMLESS,CORROSION,INTERNAL,OTHER,634,NO,After,824063.8194
NO,NO,2011,0,0,NO,NO,1,6.625,0.156,42000,43823.39564,83574.3388,975,LONGITUDINAL ERW - UNKNOWN FREQUENCY,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,EXTRUDED POLYEHYLENE,129,NO,After,83574.3388
NO,NO,2011,0,0,NO,NO,1,NA,NA,NA,18807.05151,17664.34458,1200,NA,INCORRECT OPERATION,OTHER INCORRECT OPERATION,NA,57,NO,After,17664.34458
YES,NO,2011,0,0,NO,YES,1,2,0.218,35000,12538038.68,25253894.55,2400,SEAMLESS,CORROSION,INTERNAL,NONE,75,NO,After,25253894.55
YES,NO,2011,0,0,NO,NO,3,20,0.25,35000,62131.78293,78215.79426,200,SPIRAL WELDED ERW,EXCAVATION DAMAGE,OPERATOR/CONTRACTOR EXCAVATION DAMAGE,COAL TAR,196,YES,After,78215.79426
YES,NO,2011,0,0,NO,NO,1,30,0.375,60000,172172.4184,347340.5547,1008,DSAW,CORROSION,EXTERNAL,COAL TAR,657,NO,After,347340.5547
YES,NO,2011,0,0,YES,YES,1,36,0.344,60000,4121589.012,8252299.446,800,DSAW,CORROSION,EXTERNAL,ASPHALT,703,NO,After,8252299.446
YES,NO,2011,0,0,YES,YES,1,36,0.344,60000,1052554.486,1930407.279,790,DSAW,NATURAL FORCE DAMAGE,EARTH MOVEMENT,COAL TAR,698,NO,After,1930407.279
NO,NO,2011,0,0,NO,NO,1,NA,NA,NA,5363.671723,10820.69234,1436,NA,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,NA,20,NO,After,10820.69234
NO,NO,2011,0,0,NO,NO,1,NA,NA,NA,13570.08946,27376.35161,860,NA,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,NA,40,NO,After,27376.35161
YES,NO,2011,0,0,NO,YES,1,NA,NA,NA,439291.3943,679192.6343,750,NA,OTHER OUTSIDE FORCE DAMAGE,OTHER OUTSIDE FORCE DAMAGE,NA,454,NO,After,679192.6343
NO,NO,2011,0,0,NO,NO,1,NA,NA,NA,31150.27531,29257.60036,605,NA,ALL OTHER CAUSES,MISCELLANEOUS,NA,408,NO,After,29257.60036
NO,NO,2011,0,0,NO,NO,1,NA,NA,NA,14110.26603,13715.56658,1305,NA,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,NA,7,NO,After,13715.56658
NO,NO,2011,0,0,NO,NO,4,NA,NA,NA,22393.5021,44348.4393,245,NA,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,NA,259,YES,After,44348.4393
NO,NO,2011,0,0,NO,NO,1,NA,NA,NA,3371.882771,3167.008881,300,NA,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,NA,180,NO,After,3167.008881
YES,NO,2011,0,0,NO,YES,1,NA,NA,NA,77323.91057,151273.3874,1800,NA,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,NA,8,NO,After,151273.3874
NO,NO,2011,0,0,NO,NO,1,NA,NA,NA,39293.73002,36906.26288,1700,NA,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,NA,227,NO,After,36906.26288
YES,NO,2011,0,0,NO,YES,1,NA,NA,NA,1222666.127,2464077.366,1440,NA,NATURAL FORCE DAMAGE,EARTH MOVEMENT,NA,1100,NO,After,2464077.366
YES,NO,2011,0,0,NO,NO,1,20,0.25,46000,132932.2681,202924.7178,612,LONGITUDINAL ERW - HIGH FREQUENCY,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,COAL TAR,341,NO,After,202924.7178
YES,NO,2011,0,0,NO,NO,3,10,0.279,42000,77567.1123,156475.1188,860,SEAMLESS,CORROSION,EXTERNAL,COAL TAR,218,YES,After,156475.1188
NO,NO,2011,0,0,NO,NO,1,8,0.322,24000,40065.7434,40638.4847,135,OTHER,EXCAVATION DAMAGE,PREVIOUS DAMAGE DUE TO EXCAVATION,COAL TAR,64,NO,After,40638.4847
YES,NO,2011,0,0,NO,NO,1,NA,NA,NA,141064.5663,284584.2085,1000,NA,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,NA,44,NO,After,284584.2085
YES,NO,2012,0,0,YES,YES,1,30,0.323,65000,1086114.183,1617305.121,1008,DSAW,NATURAL FORCE DAMAGE,EARTH MOVEMENT,COAL TAR,657,NO,After,1617305.121
YES,NO,2012,0,0,NO,NO,3,NA,NA,NA,63943.61461,128997.3974,1000,NA,ALL OTHER CAUSES,MISCELLANEOUS,NA,655,YES,After,128997.3974
YES,NO,2012,0,0,NO,NO,3,16,0.25,52000,124837.134,251698.362,300,LONGITUDINAL ERW - HIGH FREQUENCY,CORROSION,EXTERNAL,FUSION BONDED EPOXY,191,NO,After,251698.362
YES,NO,2012,0,0,NO,NO,2,22,0.25,52000,195527.5399,389956.1796,850,FLASH WELDED,MATERIAL/WELD/EQUIP FAILURE,"CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",COAL TAR,442,NO,After,389956.1796
NO,NO,2012,0,0,NO,NO,1,NA,NA,NA,8248.234672,7747.07611,860,NA,MATERIAL/WELD/EQUIP FAILURE,COMPRESSOR OR COMPRESSOR-RELATED EQUIPMENT,NA,121,NO,After,7747.07611
YES,NO,2012,0,0,NO,NO,4,NA,NA,NA,205765.0641,414749.2978,245,NA,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,NA,259,YES,After,414749.2978
YES,NO,2012,0,0,NO,NO,2,NA,NA,NA,52402,105716,1250,NA,NATURAL FORCE DAMAGE,EARTH MOVEMENT,NA,626,NO,After,105716
YES,NO,2012,0,0,NO,NO,1,NA,NA,NA,91416.62383,94387.35283,975,NA,INCORRECT OPERATION,OTHER INCORRECT OPERATION,NA,506,NO,After,94387.35283
YES,NO,2012,0,0,NO,NO,1,NA,NA,NA,55381.11298,110555.5945,760,NA,MATERIAL/WELD/EQUIP FAILURE,COMPRESSOR OR COMPRESSOR-RELATED EQUIPMENT,NA,571,NO,After,110555.5945
YES,NO,2012,0,0,NO,NO,1,22,0.281,52000,403748.1057,810021.1643,858,LONGITUDINAL ERW - UNKNOWN FREQUENCY,MATERIAL/WELD/EQUIP FAILURE,MANUFACTURING-RELATED,COLD APPLIED TAPE,469,NO,After,810021.1643
NO,NO,2012,0,0,NO,NO,1,NA,NA,NA,11234.53488,10551.93023,720,NA,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,NA,51,NO,After,10551.93023
YES,NO,2012,0,0,NO,NO,1,NA,NA,NA,116025.6367,126026.2913,975,NA,INCORRECT OPERATION,OTHER INCORRECT OPERATION,NA,506,NO,After,126026.2913
YES,NO,2012,0,0,NO,NO,1,30,0.344,60000,250463.5703,500221.6118,976,DSAW,CORROSION,EXTERNAL,OTHER,647,NO,After,500221.6118
NO,NO,2012,0,0,NO,NO,1,NA,NA,NA,1661.004228,1560.082452,1200,NA,ALL OTHER CAUSES,MISCELLANEOUS,NA,717,NO,After,1560.082452
NO,NO,2012,0,0,NO,YES,1,NA,NA,NA,13022.26244,14817.56894,495,NA,OTHER OUTSIDE FORCE DAMAGE,VEHICLE NOT ENGAGED IN EXCAVATION,NA,307,NO,After,14817.56894
NO,NO,2012,0,0,NO,NO,1,NA,NA,NA,8689.371052,8275.078024,960,NA,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,NA,86,NO,After,8275.078024
NO,NO,2012,0,0,NO,NO,3,NA,NA,NA,33315.29052,67210.39755,468,NA,EXCAVATION DAMAGE,OPERATOR/CONTRACTOR EXCAVATION DAMAGE,NA,359,YES,After,67210.39755
YES,NO,2011,0,0,NO,NO,3,2,0.218,35000,61041.3001,116942.1669,287,SEAMLESS,EXCAVATION DAMAGE,OPERATOR/CONTRACTOR EXCAVATION DAMAGE,COLD APPLIED TAPE,28,YES,After,116942.1669
YES,NO,2012,0,0,NO,NO,3,36,0.5,52000,158388.3765,319533.331,350,DSAW,OTHER OUTSIDE FORCE DAMAGE,PREVIOUS MECHANICAL DAMAGE,ASPHALT,647,YES,After,319533.331
YES,NO,2012,0,0,NO,NO,1,12.75,0.25,36400,55444.02066,109983.8183,500,LAP WELDED,MATERIAL/WELD/EQUIP FAILURE,ENVIRONMENTAL CRACKING-RELATED,COAL TAR,197,NO,After,109983.8183
NO,NO,2012,0,0,NO,NO,1,NA,NA,NA,44513.23086,89322.16992,894,NA,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,NA,619,NO,After,89322.16992
NO,NO,2012,0,0,NO,NO,1,20,0.235,65000,35082.77645,57270.59528,1100,LONGITUDINAL ERW - HIGH FREQUENCY,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,FUSION BONDED EPOXY,458,NO,After,57270.59528
NO,NO,2012,0,0,NO,NO,1,NA,NA,NA,19653.33511,18572.87718,1000,NA,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,NA,349,NO,After,18572.87718
NO,NO,2012,0,0,NO,NO,1,NA,NA,NA,5202.642706,4886.53277,150,NA,ALL OTHER CAUSES,MISCELLANEOUS,NA,3,NO,After,4886.53277
YES,NO,2012,0,0,NO,YES,1,16,0.312,46000,602585.3142,1176942.105,1288,LONGITUDINAL ERW - UNKNOWN FREQUENCY,CORROSION,INTERNAL,OTHER,396,NO,After,1176942.105
NO,NO,2012,0,0,NO,NO,1,12.75,0.219,42000,15392.26989,28918.55098,1039,LONGITUDINAL ERW - UNKNOWN FREQUENCY,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,COLD APPLIED TAPE,283,NO,After,28918.55098
YES,YES,2012,0,1,NO,NO,1,NA,NA,NA,132401.9228,267108.1575,250,NA,MATERIAL/WELD/EQUIP FAILURE,COMPRESSOR OR COMPRESSOR-RELATED EQUIPMENT,NA,1,NO,After,3477108.157
YES,YES,2012,0,2,YES,YES,1,24,0.281,52000,279899.4193,474195.7031,800,FLASH WELDED,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,COAL TAR,468,NO,After,6894195.703
YES,NO,2011,0,0,NO,NO,1,10.75,0.188,46000,189263.9993,193968.1412,1100,LONGITUDINAL ERW - HIGH FREQUENCY,MATERIAL/WELD/EQUIP FAILURE,"CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",COLD APPLIED TAPE,660,NO,After,193968.1412
NO,NO,2012,0,0,NO,NO,1,2.375,0.218,35000,15851.05542,22125.24307,936,SEAMLESS,MATERIAL/WELD/EQUIP FAILURE,"CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",PAINT,211,NO,After,22125.24307
YES,NO,2012,0,0,NO,NO,1,NA,NA,NA,105133.2191,100450.4093,975,NA,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,NA,231,NO,After,100450.4093
YES,NO,2012,0,0,NO,YES,1,16,0.219,60000,337034.3379,665164.7397,960,LONGITUDINAL ERW - HIGH FREQUENCY,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,FUSION BONDED EPOXY,376,NO,After,665164.7397
YES,NO,2012,0,0,YES,YES,1,16,0.25,46000,69680.59098,77097.88115,1002,OTHER,CORROSION,EXTERNAL,COMPOSITE,349,NO,After,77097.88115
NO,NO,2012,0,0,NO,NO,1,NA,NA,NA,10575.64482,9933.073996,930,NA,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,NA,1,NO,After,9933.073996
YES,NO,2012,0,0,NO,NO,1,6,0.28,35000,1074629.608,1300327.675,1200,SEAMLESS,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,PAINT,158,NO,After,1300327.675
NO,NO,2012,0,0,NO,NO,1,NA,NA,NA,28690.10827,27516.39229,1008,NA,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,NA,175,NO,After,27516.39229
NO,NO,2012,0,0,NO,NO,4,NA,NA,NA,17450.55907,35192.22103,245,NA,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,NA,259,YES,After,35192.22103
NO,NO,2012,0,0,NO,NO,1,NA,NA,NA,19868.69755,19824.88527,990,NA,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,NA,651,NO,After,19824.88527
NO,NO,2012,0,0,NO,YES,3,NA,NA,NA,36499.22018,73633.66972,595,NA,OTHER OUTSIDE FORCE DAMAGE,FIRE/EXPLOSION AS PRIMARY CAUSE,NA,505,YES,After,73633.66972
YES,NO,2012,0,0,NO,YES,1,26,0.25,52000,88097.95178,100477.4909,720,LONGITUDINAL ERW - HIGH FREQUENCY,MATERIAL/WELD/EQUIP FAILURE,MANUFACTURING-RELATED,COAL TAR,67,NO,After,100477.4909
NO,NO,2012,0,0,NO,NO,2,NA,NA,NA,48377.67769,97594.6153,420,NA,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,NA,141,NO,After,97594.6153
NO,NO,2012,0,0,NO,NO,1,NA,NA,NA,38242.43929,36430.35745,911,NA,INCORRECT OPERATION,INCORRECT VALVE POSITION,NA,875,NO,After,36430.35745
